decolorar	bleach
desatrancar	unbar
desautorizar	disavow
desayunar	breakfast
desazonar	upset
desbancar	supplant
desbarajustar	disorder
desbaratar	wreck
desbarbar	trim
desbarrancar	push off cliff
desbarrar	talk nonsense
desbastar	rough-hew
desbloquear	unblock
desbocar	bolt
desbordar	overflow
desbravar	tame
desbrozar	clear
descabalar	leave incomplete
descabalgar	dismount
descabellar	kill bull
descabezar	behead
descacharrar	smash
descalabrar	wound
descalcificar	decalcify
descalificar	disqualify
descalzar	take off shoes
descamar	scale
descambiar	exchange back
descansar	rest
descaperuzar	remove hood
descapotar	put top down
descargar	download
descarnar	strip flesh
descarriar	lead astray
descarrilar	derail
descartar	discard
descasar	annul marriage
descascarillar	peel
descastar	exterminate
descender	descend
descentralizar	decentralize
descentrar	off-center
descerebrar	decerebrate
descerrajar	break open
descifrar	decipher
desclasificar	declassify
desclavar	pull out nail
descocar	be brazen
descodificar	decode
descolgar	take down
descollar	stand out
descolocar	misplace
descolonizar	decolonize
descompasar	throw off
descompensar	unbalance
descomponer	decompose
descomprimir	decompress
desconcertar	disconcert
desconchar	chip
desconectar	disconnect
desconfiar	distrust
descongelar	defrost
descongestionar	decongest
desconocer	not know
desconsiderar	disregard
descontaminar	decontaminate
descontar	discount
descontentar	displease
descontextualizar	decontextualize
descontrolar	lose control
desconvocar	call off
descorazonar	dishearten
descorchar	uncork
descorrer	draw back
descoser	unstitch
descoyuntar	dislocate
descreer	disbelieve
descremar	skim
describir	describe
descuadrar	not balance
descuajar	uproot
descuajeringar	break apart
descuartizar	quarter
descubrir	discover
descuidar	neglect
desdecir	retract
desdeñar	disdain
desdibujar	blur
desdoblar	unfold
desdramatizar	play down
desecar	dry
desechar	discard
desembalar	unpack
desembarazar	free
desembarcar	disembark
desembargar	lift embargo
desembarrancar	refloat
desembarrar	clean mud
desembocar	flow into
desembolsar	disburse
desembragar	disengage
desembrollar	untangle
desembrujar	disenchant
desembuchar	disgorge
desempacar	unpack
desempalmar	disconnect
desempañar	demist
desempapelar	strip wallpaper
desempaquetar	unpack
desemparejar	unpair
desempatar	break tie
desempedrar	unpave
desempeñar	carry out
desempolvar	dust
desempotrar	remove built-in
desenamorar	fall out of love
desencadenar	unleash
desencajar	dislodge
desencajonar	unbox
desencallar	refloat
desencaminar	mislead
desencantar	disenchant
desencapotar	clear up
desencarcelar	free
desencasquillar	unjam
desenchufar	unplug
desenclavar	dislodge
desencolar	unglue
desencorvar	straighten
desencuadernar	unbind
desenfadar	calm
desenfocar	defocus
desenfrenar	unbridle
desenfundar	draw
desenfurruñar	cheer up
desenganchar	unhook
desengañar	disabuse
desengrasar	degrease
desenhebrar	unthread
desenjaular	uncage
desenladrillar	remove bricks
desenlazar	unravel
desenmarañar	disentangle
desenmascarar	unmask
desenraizar	uproot
desenredar	untangle
desenrollar	unroll
desenroscar	unscrew
desensibilizar	desensitize
desensillar	unsaddle
desentablillar	unsplint
desentender	feign ignorance
desenterrar	exhume
desentoldar	remove awning
desentonar	clash
desentrañar	unravel
desentrenar	get out of shape
desentumecer	loosen up
desenvainar	unsheathe
desenvolver	unwrap
desequilibrar	unbalance
desertar	desert
desertificar	desertify
desertizar	desertify
desescombrar	clear rubble
desesperar	despair
desestabilizar	destabilize
desestimar	reject
