desfalcar	embezzle
despatarrar	sprawl
despechugar	bare the chest
despedazar	tear to pieces
despedir	say goodbye
despegar	take off
despeinar	mess up the hair
despejar	clear
despellejar	skin
despelotar	strip naked
despenalizar	decriminalize
despendolar	let loose
despeñar	hurl off a cliff
despepitar	remove the seeds
desperdiciar	waste
desperdigar	scatter
desperezar	stretch
despersonalizar	depersonalize
despertar	wake up
despiezar	dismantle
despilfarrar	squander
despiojar	delouse
despistar	throw off the track
desplanchar	wrinkle
desplantar	uproot
desplazar	displace
desplegar	unfold
desplomar	collapse
desplumar	pluck
despoblar	depopulate
despojar	strip
despolitizar	depoliticize
desportillar	chip
desposar	wed
desposeer	dispossess
despotricar	rant
despreciar	despise
desprender	detach
despreocupar	stop worrying
desprestigiar	discredit
despresurizar	depressurize
desprivatizar	deprivatize
desprogramar	deprogram
desproveer	deprive
despuntar	blunt
desquiciar	unhinge
desquitar	get even
desratizar	exterminate rats
desriñonar	break one's back
desrizar	straighten
destacar	stand out
destapar	uncover
destaponar	unplug
destejer	unweave
destellar	sparkle
destemplar	upset
destensar	loosen
desteñir	fade
desternillar	split one's sides laughing
desterrar	exile
destetar	wean
destilar	distill
destinar	assign
destituir	dismiss
destornillar	unscrew
destrenzar	unbraid
destripar	gut
destronar	dethrone
destrozar	destroy
destruir	destroy
desubicar	disorient
desunir	separate
desusar	disuse
desvalijar	rob
desvalorizar	devalue
desvanecer	vanish
desvariar	rave
desvelar	reveal
desvencijar	break apart
desvendar	unbandage
desvergonzar	be shameless
desvestir	undress
desviar	divert
desvincular	disconnect
desvirgar	deflower
desvirtuar	distort
desvitalizar	devitalize
desvivir	go out of one's way
detallar	detail
detectar	detect
detener	stop
detentar	hold unlawfully
deteriorar	deteriorate
determinar	determine
detestar	detest
detraer	deduct
devaluar	devalue
devanar	wind
devastar	devastate
devengar	accrue
devenir	become
devolver	return
devorar	devour
diagnosticar	diagnose
diagramar	diagram
dializar	dialyze
dialogar	converse
dictaminar	rule
dictar	dictate
diezmar	decimate
difamar	defame
diferenciar	differentiate
diferir	differ
dificultar	hinder
difuminar	blur
difundir	spread
digerir	digest
digitalizar	digitize
dignar	deign
dignificar	dignify
dilapidar	squander
dilatar	dilate
diligenciar	process
dilucidar	elucidate
diluir	dilute
diluviar	pour
dimanar	emanate
dimitir	resign
dinamitar	dynamite
dinamizar	energize
diplomar	graduate
diptongar	diphthongize
dirimir	settle
disciplinar	discipline
discordar	disagree
discrepar	disagree
discriminar	discriminate
disculpar	excuse
discurrir	roam
disecar	dissect
diseccionar	dissect
diseminar	disseminate
disentir	dissent
diseñar	design
disertar	lecture
disfrazar	disguise
disfrutar	enjoy
disgregar	break up
disgustar	displease
disimilar	dissimilate
disimular	conceal
disipar	dissipate
dislocar	dislocate
disminuir	decrease
disociar	dissociate
disolver	dissolve
disparar	shoot
disparatar	talk nonsense
dispensar	dispense
dispersar	disperse
disputar	dispute
distanciar	distance
distender	distend
distorsionar	distort
distribuir	distribute
disuadir	dissuade
divagar	digress
divergir	diverge
diversificar	diversify
divertir	amuse
dividir	divide
divinizar	deify
divisar	discern
divorciar	divorce
divulgar	divulge
doblar	fold
doblegar	bend
doctorar	doctorate
documentar	document
dogmatizar	dogmatize
doler	hurt
domar	tame
domeñar	subdue
domesticar	domesticate
domiciliar	direct debit
