asomar	show		agree			
asombrar	amaze		agree			
aspar	reel		agree	1		
asperjar	sprinkle		agree	1		
aspirar	aspire		agree			
asquear	disgust		agree			
astillar	splinter		agree			
asumir	assume		agree			
asustar	frighten		agree			
atacar	attack		agree			
atajar	cut off		agree			
atañer	concern		agree			
atar	tie		agree			
atardecer	get dark		agree			
atarugar	wedge		agree	1		
atascar	clog		agree			
ataviar	dress up		agree			
atemorizar	frighten		agree			
atemperar	temper		agree			
atenazar	grip		agree			
atender	attend		agree			
atener	abide		agree			
atentar	attempt		agree			
atenuar	attenuate		agree			
aterrizar	land		agree			
aterrorizar	terrorize		agree			
atesorar	hoard		agree			
atestiguar	testify		agree			
atiborrar	stuff		agree			
atildar	primp		agree	1		
atinar	guess right		agree			
atiplar	raise pitch		agree	1		
atirantar	tighten		agree			
atisbar	glimpse		agree			
atizar	stoke		agree			
atocinar	cure pork	cut into bacon	uncertain	1	1	rare: cure pork vs cut into bacon
atolondrar	bewilder		agree			
atomizar	atomize		agree			
atontar	stun		agree			
atontolinar	stupefy		agree	1		
atorar	clog		agree			
atormentar	torment		agree			
atornillar	screw		agree			
atosigar	harass		agree			
atracar	hold up		agree			
atraer	attract		agree			
atragantar	choke		agree			
atrancar	bar		agree			
atrapar	trap		agree			
atrasar	delay		agree			
atravesar	cross		agree			
