decolorar	bleach
desatender	neglect
desatornillar	unscrew
desatrancar	unblock
desautorizar	deauthorize
desayunar	eat breakfast
desazonar	upset
desbancar	supplant
desbarajustar	disarrange
desbaratar	ruin
desbarbar	trim
desbarrancar	push off a cliff
desbarrar	talk nonsense
desbastar	rough out
desbloquear	unblock
desbocar	bolt
desbordar	overflow
desbravar	tame
desbrozar	clear brush
descabalar	leave incomplete
descabalgar	dismount
descabellar	kill with a sword thrust
descabezar	behead
descacharrar	break
descalabrar	wound the head
descalcificar	decalcify
descalificar	disqualify
descalzar	take off shoes
descamar	scale
descambiar	exchange back
descansar	rest
descaperuzar	remove a hood
descapotar	put the top down
descargar	unload
descarnar	strip flesh
descarriar	lead astray
descarrilar	derail
descartar	discard
descasar	annul a marriage
descascarillar	flake off
descastar	exterminate
descender	descend
descentralizar	decentralize
descentrar	off-center
descerebrar	remove the brain
descerrajar	break a lock
descifrar	decipher
desclasificar	declassify
desclavar	pull out a nail
descocar	act brazenly
descodificar	decode
descolgar	take down
descollar	stand out
descolocar	misplace
descolonizar	decolonize
descompasar	throw off rhythm
descompensar	unbalance
descomponer	decompose
descomprimir	decompress
desconcertar	disconcert
desconchar	chip
desconectar	disconnect
desconfiar	distrust
descongelar	defrost
descongestionar	decongest
desconocer	not know
desconsiderar	disregard
descontaminar	decontaminate
descontar	discount
descontentar	displease
descontextualizar	decontextualize
descontrolar	lose control
desconvocar	call off
descorazonar	dishearten
descorchar	uncork
descorrer	draw back
descoser	unstitch
descoyuntar	dislocate
descreer	disbelieve
descremar	skim
describir	describe
descuadrar	not add up
descuajar	uproot
descuajeringar	break apart
descuartizar	quarter
descubrir	discover
descuidar	neglect
desdecir	retract
desdeñar	disdain
desdibujar	blur
desdoblar	unfold
desdramatizar	play down
desecar	dry up
desechar	discard
desembalar	unpack
desembarazar	rid
desembarcar	disembark
desembargar	lift an embargo
desembarrancar	refloat
desembarrar	remove mud
desembocar	flow into
desembolsar	disburse
desembragar	disengage the clutch
desembrollar	untangle
desembrujar	disenchant
desembuchar	blurt out
desempacar	unpack
desempalmar	disconnect
desempañar	demist
desempapelar	strip wallpaper
desempaquetar	unpack
desemparejar	unpair
desempatar	break a tie
desempedrar	remove paving
desempeñar	carry out
desempolvar	dust off
desempotrar	unfix
desenamorar	fall out of love
desencadenar	unleash
desencajar	dislodge
desencajonar	unbox
desencallar	refloat
desencaminar	misdirect
desencantar	disenchant
desencapotar	clear up
desencarcelar	free from prison
desencasquillar	unjam
desenchufar	unplug
desenclavar	pry loose
desencolar	unglue
desencorvar	straighten
desencuadernar	unbind
desenfadar	calm down
desenfocar	defocus
desenfrenar	unbridle
desenfundar	draw
desenfurruñar	cheer up
desenganchar	unhook
desengañar	disabuse
desengrasar	degrease
desenhebrar	unthread
desenjaular	uncage
desenladrillar	remove bricks
desenlazar	resolve
desenmarañar	untangle
desenmascarar	unmask
desenraizar	uproot
desenredar	untangle
desenrollar	unroll
desenroscar	unscrew
desensibilizar	desensitize
desensillar	unsaddle
desentablillar	remove a splint
desentenderse	feign ignorance
desenterrar	exhume
desentoldar	remove an awning
desentonar	clash
desentrañar	unravel
desentrenar	get out of training
desentumecer	loosen up
desenvainar	unsheathe
desenvolver	unwrap
desequilibrar	unbalance
desertar	desert
desertificar	desertify
desertizar	desertify
desescombrar	clear rubble
desesperar	despair
desestabilizar	destabilize
desestimar	dismiss
