infinitive	current	proposed	status	flagged	needs_grounding	sense_note
amartelar	woo	enamor	uncertain	1	1	rare: woo vs enamor
amojamar	cure	dry like tuna	uncertain	1	1	rare: cure fish
amorriñar	mope		agree	1		
anarquizar	anarchize	spread anarchy	replace	1		anarchize is not standard English
anatomizar	anatomize	dissect	uncertain	1	1	rare: anatomize vs dissect
animalizar	animalize		agree	1		
anisar	flavor with anise		agree	1		
apellidar	surname	name	uncertain	1	1	surname as verb vs name
apergaminar	wither	become parchment-like	uncertain		1	rare: wither vs parchment-like
aplatanar	enervate	make listless	uncertain	1	1	regional: enervate vs make listless
apocopar	apocopate		agree	1		
apostrofar	apostrophize		agree	1		
arbolar	hoist		agree	1		
arracimar	cluster		agree	1		
arramplar	sweep away		agree	1		
arrebolar	redden		agree	1		
arrumbar	discard		agree	1		
asaetear	shoot arrows		agree	1		
asalariar	salary	put on salary	uncertain	1	1	salary as verb vs put on salary
aspar	reel		agree	1		
asperjar	sprinkle		agree	1		
atarugar	wedge		agree	1		
atildar	primp		agree	1		
atiplar	raise pitch		agree	1		
atocinar	cure pork	cut into bacon	uncertain	1	1	rare: cure pork vs cut into bacon
atontolinar	stupefy		agree	1		
atufar	annoy		agree	1	current annoy vs blind anger both valid	
aturullar	confuse		agree	1		
aureolar	haloe		uncertain	1	1	rare denominal
autosugestionar	autosuggest		agree	1		
avezar	accustom		agree	1		
aviejar	age		agree	1		
avispar	liven		agree	1	current liven vs blind rouse both fine	
azarar	fluster		agree	1		
azufrar	sulfur		agree	1		
babosear	slobber		agree	1		
bailotear	dance		agree	1	current dance vs blind dance about both fine	
bandear	cross		agree	1		
banderillear	stab		replace	1	1	1
baquetear	wear out		agree	1	current wear out vs blind harass both senses exist	
barrar	bar		agree	1		
biografiar	biograph		replace	1	1	
bisar	encore		agree	1		
bobear	fool around		agree	1		
bracear	flail		agree	1		
brear	thrash		agree	1		
bribonear	cheat		agree	1	current cheat vs blind loaf	
brujulear	scheme		agree	1		
buzonear	leaflet		agree	1	current leaflet vs blind deliver leaflets	
cablegrafiar	cable		agree	1		
cabrillear	shimmer		agree	1	current shimmer vs blind ripple both fine	
calcografiar	engrave		agree	1		
caligrafiar	calligraph		replace	1	1	
campar	camp		agree	1		
campear	graze		agree	1		
cañonear	shell		agree	1		
capotar	overturn		agree	1		
capotear	dodge		agree	1	current dodge vs blind cape both ok	
caracolear	caper		agree	1	current caper vs blind caracole	
carburar	carburet		agree	1		
carear	confront		agree	1		
cartear	correspond		agree	1		
cascabelear	jingle		agree	1		
catalanizar	catalanize		agree	1		
censar	census		agree	1		
centuplicar	multiply		agree	1		
chalar	madden		agree	1		
chamullar	mumble		agree	1	current mumble vs blind jabber both fine	
chancear	joke		agree	1		
chancletear	shuffle		agree	1	current shuffle vs blind shuffle in slippers	
chapucear	botch		agree	1		
chapurrear	speak badly		agree	1	current speak badly vs blind speak brokenly	
chapuzar	dunk		agree	1		
chaquetear	turncoat		agree	1		
charlatanear	prattle		agree	1		
charlotear	chatter		agree	1		
charolar	varnish		agree	1		
chascar	crack		agree	1	current crack vs blind click both fine	
chicolear	flirt		agree	1		
chinchorrear	gossip		agree	1		
chirigotear	jest		agree	1		
chistar	speak		agree	1	current speak vs blind speak up	
choricear	pilfer		agree	1		
chotear	mock		agree	1		
chulear	swagger		agree	1		
churruscar	scorch		agree	1		
cicatear	skimp		agree	1		
cimbrear	sway		agree	1		
cinematografiar	film		agree	1		
ciscar	soil		uncertain	1	1	rare colloquial verb
cizañar	sow discord		agree	1		
clarear	brighten		uncertain		1	dawn vs brighten/grow light
clavetear	stud		agree	1		
clocar	cluck		agree	1		
cloquear	cluck		agree	1		
cloroformizar	chloroform		agree	1		
coadyuvar	assist		agree	1		
cocear	kick		agree	1		
coheredar	co-inherit		agree	1		
colacionar	collate		agree	1		
colear	wag		agree	1		
colegiar	register		uncertain	1	1	join professional body
colindar	border		agree	1		
columbrar	glimpse		agree	1		
comadrear	gossip		agree	1		
comedir	restrain		agree	1		
compendiar	summarize		agree	1		
compenetrar	bond		agree	1		
competer	concern		agree	1		be incumbent on
compulsar	collate		uncertain	1	1	certify vs collate
comulgar	commune		agree	1		receive communion
concelebrar	concelebrate		agree	1		
conceptuar	conceptualize		agree	1		regard/deem
conchabar	scheme		agree	1		conspire/scheme
concitar	incite		agree	1		stir up
conculcar	violate		agree	1		
concurrir	converge		agree	1		gather/converge
condoler	sympathize		agree	1		
conexionar	connect		agree	1		
confabular	conspire		agree	1		plot
conferenciar	confer		agree	1		
confitar	candy		agree	1		
conflagrar	set ablaze		agree	1		
confraternizar	fraternize		agree	1		
congraciar	ingratiate		agree	1		
conjuntar	combine		agree	1		coordinate/combine
conmensurar	commensurate		uncertain	1	1	measure together rare
conminar	threaten		agree	1		
connotar	connote		agree	1		
consensuar	agree		agree	1		reach consensus
consonantizar	consonantize		agree	1		turn into consonant
contabilizar	account		agree	1		account for
contemporizar	temporize		agree	1		
contonear	sway		agree	1		
contrahacer	counterfeit		agree	1		
contrapear	plywood		replace	1	1	1
contristar	sadden		agree	1		
conturbar	perturb		agree	1		
copar	corner		agree	1		
copear	drink		agree	1		have drinks
coscar	annoy		uncertain	1	1	rare regional verb
cristianar	baptize		agree	1		
cuadricular	grid		agree	1		
cuartear	crack		agree	1		
culturizar	educate		agree	1		
cumplimentar	complete		agree	1		fill out
currar	work		agree	1		
cursar	study		agree	1		take a course
damnificar	harm		agree	1		
decorticar	husk		uncertain	1	1	husk vs decorticate technical
demacrar	waste away		agree	1		
demarrar	pull away		agree	1		
depilar	depilate		replace			
derechizar	make rightwing		agree	1		
desabollar	undent		agree	1		
desaclimatar	deacclimatize		agree	1		
desacuartelar	withdraw		agree	1		
desamortizar	disentail		agree	1		
desapasionar	dispassion		replace	1	1	
desarrendar	unrent		replace	1	1	
desarrimar	move away		agree	1		
desbarrancar	push off cliff		agree	1		
descabalar	leave incomplete		agree	1		
descabellar	kill bull		agree	1	bullfighting term	
descacharrar	smash		agree	1		
descambiar	exchange back		agree	1		
descaperuzar	uncover		agree	1	remove hood	
descasar	annul marriage		agree	1		
descerebrar	decerebrate		agree	1		
descompasar	throw off		agree	1		
descuajar	uproot		agree	1		
descuajeringar	break apart		agree	1		
desembarrar	clean mud		agree	1		
desembrujar	disenchant		agree	1		
desempalmar	disconnect		agree	1		
desempapelar	unpaper		agree	1	strip wallpaper	
desempedrar	unpave		agree	1		
desempotrar	unbuild		agree	1		
desencajonar	unbox		agree	1		
desencapotar	uncover		agree	1	clear up sky sense	
desencasquillar	unjam		agree	1		
desenclavar	dislodge		agree	1		
desencorvar	straighten		agree	1		
desenfadar	calm		agree	1		
desenfurruñar	cheer up		agree	1		
desenladrillar	remove bricks		agree	1		
desentablillar	unsplint		agree	1		
desentoldar	remove awning		agree	1		
desertizar	desertify		agree	1		
desfasar	mismatch	throw out of phase	replace			out of phase/sync
desflecar	fray		agree	1		
desfondar	break bottom	knock the bottom out	replace			
desforrar	unwrap	remove the lining	replace	1		strip the lining
desguarnecer	strip		agree	1		
desimantar	demagnetize		agree	1		
desinsectar	fumigate		agree	1		
deslavazar	wash out		agree	1		
deslomar	break back		agree	1		
desmadejar	weaken		agree	1		
desmadrar	wean		agree	1		
desmandar	disobey	get out of control	replace			
desnortar	disorient		agree	1		
desojar	strain eyes		agree	1		
desorejar	cut ears		agree	1		
despanzurrar	gut		agree	1		
despechugar	bare chest		agree	1		
despelotar	strip		agree	1		strip naked
despendolar	go wild		agree	1		
despistar	mislead	throw off the track	replace			throw off the track
desplanchar	wrinkle		agree	1		
despreocupar	relax	stop worrying	replace			reflexive stop worrying
desriñonar	overwork		agree	1		break one's back
desubicar	misplace	disorient	replace			disorient/confuse person
desusar	disuse		agree	1		
desvencijar	break apart		agree	1		
desvergonzar	be brazen		agree	1		be shameless
desvitalizar	devitalize		agree	1		
embazar	dye		uncertain	1	1	flagged rare; sense unclear
embotijar	bottle	store in jars	replace		1	relates to botijo jug not bottle
empavonar	burnish		uncertain	1	1	flagged rare; burnish vs blue steel
empitonar	gore		agree	1		flagged
emplastecer	plaster		agree	1		flagged
encanar	jail		agree	1		flagged
encanutar	roll		agree	1		flagged
engarabitar	climb		uncertain	1	1	flagged; climb vs curl up
enguachinar	soak		agree	1		flagged
enmudecer	silence		replace			fall silent; usually intransitive
ennoviar	get engaged		uncertain	1	1	reflexive; get a boyfriend/girlfriend
enquistar	encyst		agree	1		
enrocar	castle		agree	1		
enronquecer	make hoarse		agree	1		
ensañar	rage		replace			be cruel with
enseñorear	take over		agree	1		
ensoberbecer	make arrogant		agree	1		
entallar	fit		uncertain			two senses: fit (garment) / carve
entarimar	floor		agree	1		
entelar	cover		agree	1		
entenebrecer	darken		agree	1		
entoldar	awning		replace			cover with awning
entrelucir	glimmer		agree	1		
entubar	tube		replace			intubate
erisipelar	infect		replace	1	1	cause erysipelas
escachifollar	smash		agree	1		
escaquear	dodge		agree	1		
esclerosar	harden		agree	1		
esclerotizar	harden		agree	1		
escorar	list		agree	1		
escotar	lower neckline		agree	1		
escriturar	deed		replace	1		notarize
españolear	flaunt Spanishness		agree	1		
espichar	die		agree	1		
espurrear	spray		agree	1		
esquejar	take cuttings		agree	1		
estabular	stable		agree	1		
estatuir	decree		agree	1		
estenografiar	stenograph		replace	1		take shorthand
estirajar	stretch		agree	1		
estocar	thrust		agree	1		
estomagar	annoy		agree	1		
estoquear	thrust		agree	1		
estraperlear	black-market		agree	1		
estuchar	case		agree	1		
exclaustrar	secularize		agree	1		
expedientar	investigate		agree	1		
explicotear	explain at length		agree	1		
expugnar	storm		agree	1		
extractar	abstract		agree	1		
extranjerizar	foreignize		uncertain	1	1	rare denominal
extremar	maximize		agree	1		
faenar	fish		agree	1		
fajar	wrap		agree	1		
faldear	skirt		agree	1		
fanatizar	fanaticize		agree	1		
feriar	trade		agree	1	trade / barter both valid	
festonear	festoon		agree	1		
filiar	enroll		agree	1		
florear	adorn		agree	1	adorn / embellish both valid	
fluidificar	fluidify		agree	1		
fluorar	fluoridate		agree	1		
foguear	fire		uncertain	1	1	fire vs season (inure); blind says season
foliar	foliate		agree	1		
fraguar	forge		replace			set/harden (cement) is primary; forge is secondary
fregotear	scrub		agree	1	scrub / scour both valid	
gallardear	flaunt		agree	1	flaunt / swagger both valid	
gallear	strut		agree	1		
gansear	clown		agree	1	clown / clown around both valid	
garrapatear	scribble		agree	1	scribble / scrawl both valid	
garrapiñar	candy		agree	1		
gibar	annoy		uncertain	1	1	annoy vs hunch; blind says hunch
gitanear	wheedle		agree	1		
golfear	loaf		agree	1	loaf / loiter both valid	
golosear	nibble		agree	1	nibble / nibble sweets both valid	
gorgoritear	trill		agree	1		
granar	seed		agree	1		
grillar	sprout		agree	1		
grisear	gray		agree	1		
guarnicionar	garrison		agree	1		
guarrear	mess up		uncertain	1	1	mess up vs grunt; regional slang
guerrillear	wage guerrilla war		agree	1		
guipar	see		agree	1	see / spot both valid	
gulusmear	snoop		agree	1	snoop / snoop for food both valid	
hebraizar	hebraize		agree	1		
heñir	knead		agree	1		
himplar	snarl		agree	1		
hocicar	root		agree	1		
hojaldrar	puff		agree	1		
hondear	sound		agree	1		
hostiar	wallop		agree	1	wallop / whack both valid	
hozar	root		agree	1		
humar	smoke		agree	1		
huronear	pry		agree	1	pry / ferret both valid	
interviuvar	interview		agree	1		
loquear	act crazy		agree	1		
lucubrar	ponder		agree	1		
malcasar	mismarry		agree	1		
malmeter	incite		agree	1		
maltraer	mistreat		agree	1		
mancipar	enslave		agree	1		
manducar	eat		agree	1		
mantear	toss		agree	1		
maridar	marry		agree	1		
maternizar	humanize milk		uncertain	1	1	rare technical sense re: infant formula
matrimoniar	marry		agree	1		
mechar	lard		agree	1		
mensualizar	monthly bill		replace	1	1	awkward current gloss
menudear	occur often		agree	1		
mesar	tear hair		agree	1		
metaforizar	metaphorize		agree	1		
meteorizar	bloat		agree	1		
migar	crumble		agree	1		
militar	militate		replace			primary sense is military service
ministrar	administer		agree	1		
mocar	blow nose		agree	1		
moldar	mold		agree	1		
monoptongar	monophthongize		agree	1		
monumentalizar	monumentalize		agree	1		
morigerar	temper		agree	1		
mosconear	pester		agree	1		
motear	speckle		agree	1		
motejar	nickname		agree	1		
murar	wall		agree	1		
mustiar	wither		agree	1		
negrear	turn black		agree	1		
neurotizar	neuroticize		replace	1	1	
niñear	act childish		agree	1		
nuclearizar	nuclearize		agree	1		
obcecar	blind		agree	1		
obstar	hinder		agree	1		
ociar	idle		agree	1		
opositar	compete		replace	1	1	specific sense: sit competitive public exam
optimar	optimize		agree	1		
orear	air		agree	1		
orillar	skirt		agree	1		
orlar	border		agree	1		
otear	scan		agree	1		
ovalar	make oval		agree	1		
ovar	lay eggs		agree	1		
ovillar	wind up		agree	1		
parabolizar	parabolize	make parabolic	replace	1	1	rare; figurative speak-in-parables sense exists
parcializar	bias	make partial	replace	1		
pedorrear	fart		agree	1		
pegotear	scrounge		agree	1		
peligrar	endanger	be in danger	replace			intransitive: be in danger
pendonear	gallivant		agree	1		
peraltar	bank		agree	1		
pergeñar	contrive		agree	1		
periclitar	decline		agree	1		
perlar	bead		agree	1		
pespuntear	backstitch		agree	1		
petar	please		agree	1		
petardear	backfire		agree	1		
piafar	paw		agree	1		
pimplar	booze		agree	1		
pirrar	love		agree	1		
plantificar	plant	plonk down	replace	1		
policromar	polychrome		agree	1		
positivar	develop		agree	1		
postinear	show off		agree	1		
predatar	predate		agree	1		
presintonizar	preset		agree	1		
prevaricar	prevaricate	abuse one's office	replace		1	legal: betray official duty; not lie
prosificar	prosify	turn into prose	replace	1		
quebrantar	break	break apart	replace			two senses: break / violate (law)
racanear	skimp	skimp	agree	1		
radiotelegrafiar	radiotelegraph	radiotelegraph	agree	1		
ramonear	browse	browse	agree	1		browse (graze)
rarificar	rarefy	rarefy	agree	1		
rastrojar	clear stubble	clear stubble	agree	1		
rebañar	scrape clean	scrape clean	agree	1		
rebordear	edge	edge	agree	1		
recalar	make landfall	make landfall	agree	1		
recalificar	requalify	rezone	uncertain			senses: requalify / rezone land
recamar	embroider	embroider	agree	1		
recatar	conceal	conceal	agree	1		
recauchutar	retread	retread	agree	1		
recidivar	relapse	recur	agree	1		
recochinear	gloat	gloat	agree	1		
recomer	fret	fret	agree	1		
reconcomer	fret	fret	agree	1		
recuadrar	frame	frame	agree	1		
redundar	result	result in	agree	1		
reenganchar	rehook	reenlist	replace	1		reenganchar(se) = reenlist
reensayar	rehearse	rehearse again	agree	1		
reflorecer	reflower	bloom again	agree	1		
refocilar	delight	revel	agree	1		
regodear	delight	delight	agree	1		take delight
rehumedecer	remoisten	remoisten	agree	1		
rehundir	sink	sink	agree	1		
rejonear	spear bull	spear a bull	agree	1		
religar	rebind	rebind	agree	1		
remansar	pool	form a pool	agree	1		
remorder	cause remorse	gnaw at	agree	1		
repatear	annoy	annoy	agree	1		
repeinar	recomb	comb again	agree	1		
repescar	refish	let resit	uncertain	1	1	senses: fish out again / let resit exam
resinar	tap resin		uncertain	1	1	denominal resin-tapping
reverdecer	regreen	turn green again	replace			
sesear	lisp	pronounce s for c	replace			seseo not lisp
sobetear	paw		uncertain	1	1	colloquial
soflamar	scorch		agree	1		
subvenir	defray		agree	1		
sulfatar	sulfate		agree	1		
sumariar	summarize		agree	1		
superabundar	overabound		agree	1		
sustantivar	nominalize		agree	1		
tabicar	wall up		agree	1		
tablear	plank		uncertain	1	1	current: plank / blind: pleat
taconear	tap heels		agree	1		
tanguear	tango		agree	1		
tapear	snack		agree	1	eat tapas	
taquigrafiar	stenograph		agree	1	write shorthand	
taracear	inlay		agree	1		
tarar	tare		agree	1		
tarifar	price		agree	1	set rates	
tarjetear	card		uncertain	1	1	rare denominal
tartajear	stammer		agree	1		
tatarear	hum		agree	1		
tecnificar	modernize		agree	1	mechanize	
temblequear	shiver		agree	1		
teologizar	theologize		agree	1		
terraplenar	embank		agree	1		
tersar	smooth		agree	1		
testar	bequeath		replace			"testar = make a will, not bequeath"
titularizar	tenure		agree	1		
toldar	awning		uncertain	1	1	rare denominal
tonsurar	tonsure		agree	1		
tornasolar	iridesce		agree	1		
torrar	roast		agree	1		
trajear	dress		agree	1		
trapacear	cheat		agree	1	swindle	
trapichear	deal		agree	1		
trashumar	migrate		agree	1		
trastabillar	stumble		agree	1		
tremolar	wave		agree	1		
trepanar	trepan		agree	1		
triptongar	triphthong		agree	1	form triphthong	
trizar	shatter		agree	1		
trompetear	trumpet		agree	1		
troquelar	stamp		agree	1		
trovar	versify		agree	1		
trufar	stuff		agree	1	stuff with truffles	
tullir	cripple		agree	1		
tundir	shear		agree	1		
tupir	pack		agree	1	pack tight	
uncir	yoke		agree	1		
usufructuar	usufruct		agree	1		
vacar	be vacant		agree	1		
vaguear	loaf		agree	1		
vampirizar	vampirize		agree	1		
ventajear	outdo		agree	1	gain advantage	
ventear	air		agree	1		
ventiscar	blizzard		agree	1	snow heavily	
ventosear	pass wind		agree	1	break wind	
verdear	green		agree	1	turn green	
vetear	streak		agree	1		
vidriar	glaze		agree	1		
virilizar	virilize		uncertain	1	1	rare denominal
xerografiar	xerograph		agree	1		
yermar	lay waste		agree	1		
yodurar	iodize		agree	1		
yugular	stem		uncertain		1	stem/jugulate medical sense
zascandilear	bustle about		agree	1		
zorrear	prowl		agree	1		
