infinitive	current	decision	final_gloss	agree_count	citation	confidence	sense_note
abajar	lower	keep	lower	3	everyday (3/3); https://es.wiktionary.org/wiki/abajar mover de posicion mas elevada a menos	high	
abalar	move	replace	hurl	2	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl); current move too vague	medium	morph kept move; rae+wikt cite hurl
abalizar	mark	keep	mark	3	https://es.wiktionary.org/wiki/abalizar : senalar con balizas (mark with buoys)	high	nautical sense
aballar	drive	keep	drive	3	https://es.wiktionary.org/wiki/aballar : llevar o conducir el ganado (drive cattle)	high	
abanar	fan	keep	fan	3	everyday (3/3); https://es.wiktionary.org/wiki/abanar abanicar cribar	high	
abanderar	champion	keep	champion	2	https://dle.rae.es/abanderar : ponerse al frente de una causa (champion lead a cause)	medium	rae checker preferred nautical register-under-flag sense
abetunar	polish	keep	polish	3	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat polish)	high	
abigarrar	variegate	keep	variegate	3	https://es.wiktionary.org/wiki/abigarrar : dar varios colores mal combinados (variegate)	high	make gaudy synonym
abocar	pour	keep	pour	3	https://es.wiktionary.org/wiki/abocar : volcar el contenido de un recipiente en otro (pour decant)	high	
abocinar	flare	keep	flare	3	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina (flare tube mouth)	high	
abordar	tackle	replace	board	2	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high	morph+rae cite board primary; wikt kept tackle figurative
aborregar	curdle	replace	become fleecy	3	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high	current curdle wrong; sheep/borrego cloud sense
abotargar	bloat	keep	bloat	3	https://dle.rae.es/abotargarse : hincharse abotagarse (become bloated)	high	
abovedar	vault	keep	vault	3	https://es.wiktionary.org/wiki/abovedar : cubrir con boveda (cover with vault)	high	
abrevar	water	keep	water	3	https://es.wiktionary.org/wiki/abrevar : proporcionar agua para beber al ganado (water animals)	high	water animals
acendrar	purify	keep	purify	3	https://es.wiktionary.org/wiki/acendrar : depurar purificar (purify refine metals)	high	
agitanar	gypsify	keep	gypsify	3	https://es.wiktionary.org/wiki/agitanar : conferir aspecto o caracter gitano	high	current synonymous with make gypsy-like
agostar	parch	keep	parch	3	https://es.wiktionary.org/wiki/agostar : secar o abrasar el calor las plantas	high
agremiar	unionize	keep	unionize	3	https://es.wiktionary.org/wiki/agremiar : reunir formando gremios	high
agrisar	gray	keep	gray	3	https://es.wiktionary.org/wiki/agrisar : darle a algo color gris	high	current synonymous with make gray
agusanar	get wormy	keep	get wormy	3	https://es.wiktionary.org/wiki/agusanarse : llenarse de gusanos	high
aherrojar	shackle	keep	shackle	3	https://dle.rae.es/aherrojar : poner a alguien prisiones de hierro	high
ahornar	bake	keep	bake	3	https://es.wiktionary.org/wiki/ahornar : meter en el horno	high	put in the oven
ahuevar	egg-shape	keep	egg-shape	3	https://dle.rae.es/ahuevar : dar forma de huevo	high	make egg-shaped
aindiar	go native	keep	go native	3	https://es.wiktionary.org/wiki/aindiar : tomar tradiciones y costumbres de los indios	medium
alambicar	distill	keep	distill	3	https://dle.rae.es/alambicar : destilar	high
albardar	bard	replace	saddle	2	https://dle.rae.es/albardar : enalbardar poner la albarda (primary; bard is secondary culinary)	high	primary sense is put packsaddle on; bard is secondary culinary
alcahuetear	pander	keep	pander	3	everyday (3/3) : servir de alcahuete	high
alcantarillar	sewer	keep	sewer	3	https://dle.rae.es/alcantarillar : hacer o poner alcantarillas	high	lay sewers; sewer synonymous
alcoholizar	alcoholize	keep	alcoholize	3	https://es.wiktionary.org/wiki/alcoholizar : anadir alcohol a una sustancia	high
algodonar	pad	keep	pad	3	https://dle.rae.es/algodonar : estofar o rellenar de algodon	high	stuff with cotton
alhajar	bejewel	keep	bejewel	3	https://dle.rae.es/alhajar : adornar con alhajas	high	furnish
alicatar	tile	keep	tile	3	https://dle.rae.es/alicatar : revestir de azulejos	high
alicortar	clip wings	keep	clip wings	3	https://dle.rae.es/alicortar : cortar las alas a un ave	high	clip the wings
allegar	gather	keep	gather	3	https://dle.rae.es/allegar : juntar o reunir	high
almendrar	almond-flavor	replace	decorate with almonds	2	https://es.wiktionary.org/wiki/almendrar : anadir almendras o mandorlas a modo de decoracion (arq)	medium	rae+morph agree decorate with almonds; wikt said shape like almonds
almohazar	curry	keep	curry	3	https://dle.rae.es/almohazar : estregar a las caballerias con la almohaza	high	groom a horse (3/3 unanimous; consensus agent dropped row)
alocar	madden	keep	madden	3	everyday (3/3): a-+loco+-ar = drive mad	high
amanerar	mannerism	replace	make mannered	3	https://es.wiktionary.org/wiki/amanerar: adopt affected/mannered style (current is a noun)	high	current was a noun, now a verb
amartelar	woo	replace	enamor	3	https://www.rae.es/drae2001/amartelar: enamorar (primary sense)	high	rare; RAE-grounded
amojamar	cure	replace	dry out	2	https://dle.rae.es/amojamar: ponerse enjuto y seco como la mojama = dry/shrivel	medium	wikt+morph agree dry/shrivel vs rae keep cure
amorriñar	mope	keep	mope	3	everyday (3/3): from morrina (melancholy/homesickness) = mope	medium
anarquizar	anarchize	replace	spread anarchy	3	https://es.wiktionary.org/wiki/anarquizar: llevar a la anarquia (anarchize not standard English)	high
anatomizar	anatomize	replace	dissect	3	https://es.wiktionary.org/wiki/anatomizar: hacer la diseccion anatomica = dissect	high	rare; URL-grounded
animalizar	animalize	keep	animalize	3	everyday (3/3): -izar denominal from animal = make brutish/animalize	medium	no clean everyday equivalent
anisar	flavor with anise	keep	flavor with anise	3	everyday (3/3): RAE anisar = anadir anis	high
apellidar	surname	replace	name	2	https://es.wiktionary.org/wiki/apellidar: llamar = call/name (surname-as-verb awkward)	medium	wikt+morph agree name vs rae keep surname
apergaminar	wither	keep	wither	3	https://dle.rae.es/apergaminarse: ponerse seco como pergamino; wither/shrivel/parchment-like synonymous	high	all 3 same sense; verdict glosses synonymous with current
aplatanar	enervate	replace	make listless	3	https://dle.rae.es/aplatanar: entregarse a la indolencia = make indolent/listless	high	enervate too technical
apocopar	apocopate	keep	apocopate	3	https://es.wiktionary.org/wiki/apocopar: suprimir sonidos finales (apocopate is standard linguistic term)	high
apostrofar	apostrophize	keep	apostrophize	3	https://es.wiktionary.org/wiki/apostrofar: dirigir apostrofes = address rhetorically	high	standard rhetorical term
arbolar	hoist	keep	hoist	3	https://es.wiktionary.org/wiki/arbolar: levantar en mastil o asta = hoist	high
arracimar	cluster	keep	cluster	3	https://es.wiktionary.org/wiki/arracimar: disponer en forma de racimo = cluster	high
arramplar	sweep away	keep	sweep away	3	https://dle.rae.es/arramplar : llevar algo codiciosamente	high
arrebolar	redden	keep	redden	3	https://dle.rae.es/arrebolar : poner de color de arrebol (rojo)	high
arrumbar	discard	keep	discard	3	https://dle.rae.es/arrumbar : apartar o retirar algo por inutil	high
asaetear	shoot arrows	keep	shoot arrows	3	https://dle.rae.es/asaetear : disparar saetas contra alguien	high
asalariar	salary	replace	put on salary	3	https://dle.rae.es/asalariar : senalar salario a alguien	high	salary noun-as-verb replaced with clearer put on salary
aspar	reel	keep	reel	3	https://dle.rae.es/aspar : hacer madejas el hilo en el aspa	high
asperjar	sprinkle	keep	sprinkle	3	https://dle.rae.es/asperjar : rociar o hisopear	high
atarugar	wedge	keep	wedge	3	https://dle.rae.es/atarugar : asegurar con tarugos o cunas	high
atildar	primp	keep	primp	3	https://dle.rae.es/atildar : componer asear	high
atiplar	raise pitch	keep	raise pitch	3	https://es.wiktionary.org/wiki/atiplar : levantar el tono hasta tiple	high
atocinar	cure pork	keep	cure pork	3	https://www.rae.es/drae2001/atocinar : partir el cerdo hacer los tocinos y salarlos	high	make/cure bacon synonymous with cure pork
atontolinar	stupefy	keep	stupefy	3	https://dle.rae.es/atontolinar : atontar aturdir	high
atufar	annoy	keep	annoy	3	https://dle.rae.es/atufar : enfadar enojar	high	annoy/anger both attested
aturullar	confuse	keep	confuse	3	https://dle.rae.es/aturullar : turbar a alguien de modo que no sepa que decir	high
aureolar	haloe	replace	halo	3	https://dle.rae.es/aureolar : rodear como una aureola	high	fixes spelling haloe to halo
autosugestionar	autosuggest	keep	autosuggest	3	https://es.wiktionary.org/wiki/autosugestionar : sugestionarse a si mismo	high
avezar	accustom	keep	accustom	3	everyday (3/3): a-+vezo "get used to/accustom"	high
aviejar	age	keep	age	3	everyday (3/3): a-+viejo+ar "make old/age"	high
avispar	liven	keep	liven	3	everyday (3/3): avivar/espabilar liven rouse	high	current liven vs rouse both fine
azarar	fluster	keep	fluster	3	everyday (3/3): provocar desasosiego o inquietud repentina	high
azufrar	sulfur	keep	sulfur	3	https://es.wiktionary.org/wiki/azufrar : tratar con azufre treat with sulfur	high
babosear	slobber	keep	slobber	3	everyday (3/3): llenar de baba drool slobber	high
bailotear	dance	keep	dance	3	everyday (3/3): bailar mucho sin gracia dance about	high	current dance vs dance about both fine
bandear	cross	keep	cross	3	https://es.wiktionary.org/wiki/bandear : cruzar un rio a la otra orilla cross	high
banderillear	stab	replace	place banderillas	3	https://dle.rae.es/banderillear : poner banderillas al toro place banderillas	high	bullfighting term
baquetear	wear out	keep	wear out	3	https://es.wiktionary.org/wiki/baquetear : danar un objeto por usarlo reiteradamente wear out	high	current wear out vs harass; wear out is majority
barrar	bar	replace	smear with mud	3	https://es.wiktionary.org/wiki/barrar : untar cubrir o manchar con barro from barro mud not barra bar	high	current bar was wrong root
biografiar	biograph	replace	write biography	3	https://es.wiktionary.org/wiki/biografiar : elaborar la biografia de alguien write biography	high
bisar	encore	keep	encore	3	https://es.wiktionary.org/wiki/bisar : repetir a peticion del publico encore	high
bobear	fool around	keep	fool around	3	everyday (3/3): hacer o decir boberias act foolishly	high
bracear	flail	keep	flail	3	everyday (3/3): mover repetidamente los brazos move arms flail	high
brear	thrash	keep	thrash	3	https://es.wiktionary.org/wiki/brear : maltratar atosigar thrash mistreat	high
bribonear	cheat	replace	act roguishly	2	https://dle.rae.es/bribonear : hacer vida de bribon / hacer bribonadas (act roguishly)	medium	rae+morph agree roguish behavior; wikt said cheat
brujulear	scheme	keep	scheme	3	https://es.wiktionary.org/wiki/brujulear : averiguar por indicios / hacer diligencias (scheme maneuver)	high
buzonear	leaflet	keep	leaflet	3	https://www.rae.es/diccionario-estudiante/buzonear : repartir publicidad por los buzones (deliver leaflets)	high
cablegrafiar	cable	keep	cable	3	https://es.wiktionary.org/wiki/cablegrafiar : enviar mensajes por cable telegrafico (cable)	high
cabrillear	shimmer	keep	shimmer	3	https://es.wiktionary.org/wiki/cabrillear : el mar forma pequeñas olas (ripple shimmer)	high
calcografiar	engrave	keep	engrave	3	https://es.wiktionary.org/wiki/calcografiar : grabar en metal una imagen (engrave)	high
caligrafiar	calligraph	replace	do calligraphy	3	https://es.wiktionary.org/wiki/caligrafiar : escribir a mano con trazos artisticos (do calligraphy)	high	calligraph not English; all three replace
campar	camp	keep	camp	3	https://es.wiktionary.org/wiki/campar : instalarse para pernoctar (camp)	high
campear	graze	keep	graze	3	https://es.wiktionary.org/wiki/campear : salir un animal a pacer (graze)	high
cañonear	shell	keep	shell	3	https://es.wiktionary.org/wiki/cañonear : atacar con muchos cañonazos (shell bombard)	high
capotar	overturn	keep	overturn	3	https://dle.rae.es/capotar : volcar un vehiculo quedando invertido (overturn)	high
capotear	dodge	keep	dodge	3	https://es.wiktionary.org/wiki/capotear : evadir mañosamente dificultades (dodge evade)	high
caracolear	caper	keep	caper	3	https://es.wiktionary.org/wiki/caracolear : caballo que da giros y movimientos circulares (prance caper)	high
carburar	carburet	keep	carburet	3	https://es.wiktionary.org/wiki/carburar : mezclar los gases carburantes con el aire (carburet)	high
carear	confront	keep	confront	3	https://es.wiktionary.org/wiki/carear : poner personas cara a cara para apurar la verdad (confront)	high
cartear	correspond	keep	correspond	3	https://es.wiktionary.org/wiki/cartear : corresponder por cartas (correspond by letters)	high
cascabelear	jingle	keep	jingle	3	https://es.wiktionary.org/wiki/cascabelear : denominal of cascabel (bell), literal jingle	high
catalanizar	catalanize	keep	catalanize	3	https://es.wiktionary.org/wiki/catalanizar : confer Catalan attributes / make Catalan	high
censar	census	keep	census	3	https://es.wiktionary.org/wiki/censar : registrar algo en un censo / take a census	high	take census synonymous with census
centuplicar	multiply	replace	multiply hundredfold	3	https://es.wiktionary.org/wiki/centuplicar : multiplicar por 100 / cien veces mayor	high	bare multiply too generic
chalar	madden	keep	madden	3	https://es.wiktionary.org/wiki/chalar : hacer perder el juicio / drive crazy	high
chamullar	mumble	flag	deceptive persuasive talk	2	candidates jabber (rae) vs mumble (wikt) vs sweet-talk (morph); no clean majority sense	low	rare regional verb, deceptive-talk sense competes with mumble
chancear	joke	keep	joke	3	https://es.wiktionary.org/wiki/chancear : usar de chanzas / bromear	high
chancletear	shuffle	keep	shuffle	3	https://es.wiktionary.org/wiki/chancletear : walk dragging chancletas / shuffle in slippers	high
chapucear	botch	keep	botch	3	https://es.wiktionary.org/wiki/chapucear : do shoddy careless work / bungle	high
chapurrear	speak badly	keep	speak badly	3	https://es.wiktionary.org/wiki/chapurrear : hablar mal un idioma / speak a language poorly	high
chapuzar	dunk	keep	dunk	3	https://es.wiktionary.org/wiki/chapuzar : arrojar de cabeza en el agua / plunge in water	high
chaquetear	turncoat	replace	switch sides	2	https://es.wiktionary.org/wiki/chaquetear : cambiar de bando / turn coat (from chaqueta)	high	current turncoat is a noun; verbal sense is switch sides
charlatanear	prattle	keep	prattle	3	https://es.wiktionary.org/wiki/charlatanear : hablar de asuntos superfluos vanos e insustanciales	high
charlotear	chatter	keep	chatter	3	https://es.wiktionary.org/wiki/charlotear : conversar sin sustancia / idle chat	high
charolar	varnish	keep	varnish	3	https://es.wiktionary.org/wiki/charolar : barnizar con charol / apply glossy finish	high
chascar	crack	keep	crack	3	https://es.wiktionary.org/wiki/chascar : producir sonido crujiente abrupto / crack snap	high
chicolear	flirt	keep	flirt	3	https://es.wiktionary.org/wiki/chicolear : decir piropos/cumplidos = flirt	high
chinchorrear	gossip	keep	gossip	3	https://dle.rae.es/chinchorrear : traer y llevar chismes = gossip	high
chirigotear	jest	keep	jest	3	https://es.wiktionary.org/wiki/chirigotear : de chirigota broma = jest	high
chistar	speak	replace	speak up	2	https://es.wiktionary.org/wiki/chistar : empezar a hablar (sin chistar) = speak up	high	morph kept speak; RAE+Wikt agree speak up
choricear	pilfer	keep	pilfer	3	https://es.wiktionary.org/wiki/choricear : variante de chorizar robar = pilfer	high
chotear	mock	keep	mock	3	https://es.wiktionary.org/wiki/chotear : gastar bromas/burlarse = mock	high
chulear	swagger	keep	swagger	3	https://www.rae.es/diccionario-estudiante/chulear : jactarse o presumir = swagger	high
churruscar	scorch	keep	scorch	3	https://es.wiktionary.org/wiki/churruscar : sobrepasar coccion ennegrecida = scorch	high
cicatear	skimp	keep	skimp	3	https://dle.rae.es/cicatear : escatimar = skimp	high
cimbrear	sway	keep	sway	3	https://es.wiktionary.org/wiki/cimbrear : mover algo flexible vibrando = sway	high
cinematografiar	film	keep	film	3	https://dle.rae.es/cinematografiar : sinonimo de filmar = film	high
ciscar	soil	keep	soil	3	https://es.wiktionary.org/wiki/ciscar : ensuciar una cosa = soil	high	uncertain status resolved 3/3 with URL
cizañar	sow discord	keep	sow discord	3	https://es.wiktionary.org/wiki/cizañar : causar disension sembrando cizaña = sow discord	high
clarear	brighten	replace	dawn	3	https://es.wiktionary.org/wiki/clarear : empezar a amanecer = dawn	high	primary impersonal sense; brighten is secondary tr.
clavetear	stud	keep	stud	3	https://es.wiktionary.org/wiki/clavetear : adornar con clavos = stud	high
clocar	cluck	keep	cluck	3	https://es.wiktionary.org/wiki/clocar : emitir la gallina su voz = cluck	high
cloquear	cluck	keep	cluck	3	everyday (3/3); onomatopoeic hen sound	high
cloroformizar	chloroform	keep	chloroform	3	https://es.wiktionary.org/wiki/cloroformizar : emplear cloroformo para anestesiar	high
coadyuvar	assist	keep	assist	3	https://es.wiktionary.org/wiki/coadyuvar : contribuir a la realizacion de algo	high
cocear	kick	keep	kick	3	everyday (3/3); coz (kick) + -ear	high
coheredar	co-inherit	keep	co-inherit	3	https://es.wiktionary.org/wiki/coheredar : heredar conjuntamente	high
colacionar	collate	keep	collate	3	https://dle.rae.es/colacionar : cotejar (collate/compare)	high
colear	wag	keep	wag	3	everyday (3/3); cola (tail) + -ear	high
colegiar	register	keep	register	3	https://es.wiktionary.org/wiki/colegiar : incorporar a un profesional en el colegio de su profesion	high	morph preferred join professional body; same sense as register
colindar	border	keep	border	3	https://es.wiktionary.org/wiki/colindar : tener limites comunes	high
columbrar	glimpse	keep	glimpse	3	https://es.wiktionary.org/wiki/columbrar : percibir o divisar desde lejos sin distinguir bien	high
comadrear	gossip	keep	gossip	3	https://es.wiktionary.org/wiki/comadrear : contar y difundir chismes	high
comedir	restrain	keep	restrain	3	https://es.wiktionary.org/wiki/comedir : comedirse moderarse/contenerse	high	reflexive restrain oneself
compendiar	summarize	keep	summarize	3	https://es.wiktionary.org/wiki/compendiar : producir un compendio o resumen	high
compenetrar	bond	keep	bond	3	https://dle.rae.es/compenetrarse : identificarse en ideas y sentimientos dos personas	high	reflexive bond/identify deeply
competer	concern	keep	concern	3	https://es.wiktionary.org/wiki/competer : pertenecer tocar o incumbir a uno	high	be incumbent on
compulsar	collate	keep	collate	3	https://es.wiktionary.org/wiki/compulsar : comparar un documento con su copia para cotejar	high	certify/collate copy against original
comulgar	commune	keep	commune	3	https://es.wiktionary.org/wiki/comulgar : give/receive holy communion	high	receive communion
concelebrar	concelebrate	keep	concelebrate	3	https://en.wiktionary.org/wiki/concelebrar : to concelebrate	high
conceptuar	conceptualize	keep	conceptualize	2	https://es.wiktionary.org/wiki/conceptuar : formar o producir un concepto	medium	wikt offered deem; 2/3 back conceptualize/regard
conchabar	scheme	keep	scheme	3	https://es.wiktionary.org/wiki/conchabar : conchabarse unirse/conspire	medium	plot/scheme pronominal
concitar	incite	keep	incite	3	https://en.wiktionary.org/wiki/concitar : instigate stir up incite	high	stir up
conculcar	violate	keep	violate	3	https://es.wiktionary.org/wiki/conculcar : irrespetar una norma ley o derecho	high
concurrir	converge	keep	converge	3	https://en.wiktionary.org/wiki/concurrir : to converge gather flock	high	gather/converge
condoler	sympathize	keep	sympathize	3	https://es.wiktionary.org/wiki/condoler : condolerse compadecer commiserate	high
conexionar	connect	keep	connect	3	https://es.wiktionary.org/wiki/conexionar : connect/become connected	high
confabular	conspire	keep	conspire	3	https://en.wiktionary.org/wiki/confabularse : to conspire plot scheme	high	plot
conferenciar	confer	keep	confer	3	https://es.wiktionary.org/wiki/conferenciar : to confer discuss	high
confitar	candy	keep	candy	3	https://en.wiktionary.org/wiki/confitar : to candy cook in sugar	high
conflagrar	set ablaze	keep	set ablaze	3	https://es.wiktionary.org/wiki/conflagrar : hacer arder algo set on fire	high
confraternizar	fraternize	keep	fraternize	3	https://en.wiktionary.org/wiki/confraternizar : to fraternise	high
congraciar	ingratiate	keep	ingratiate	3	https://es.wiktionary.org/wiki/congraciar : congraciarse ganar el favor de alguien	high
conjuntar	combine	keep	combine	3	https://en.wiktionary.org/wiki/conjuntar : to join bring together combine	high	coordinate/combine
conmensurar	commensurate	keep	commensurate	2	https://es.wiktionary.org/wiki/conmensurar : medir con igualdad o debida proporcion	medium	wikt+morph keep commensurate; rae phrased as measure proportionally same sense
conminar	threaten	keep	threaten	3	everyday (3/3)	high
connotar	connote	keep	connote	3	everyday (3/3)	high
consensuar	agree	keep	agree	3	https://dle.rae.es/consensuar : adoptar decisiones de comun acuerdo	high	morph reach consensus synonymous
consonantizar	consonantize	keep	consonantize	3	https://dle.rae.es/consonantizar : convertir en consonante	high
contabilizar	account	keep	account	3	https://dle.rae.es/contabilizar : apuntar en los libros de cuentas	high	account for
contemporizar	temporize	keep	temporize	3	https://dle.rae.es/contemporizar : acomodarse al gusto o dictamen ajeno	high
contonear	sway	keep	sway	3	https://dle.rae.es/contonearse : movimientos con hombros y caderas al andar	high
contrahacer	counterfeit	keep	counterfeit	3	https://dle.rae.es/contrahacer : copiar imitar falsificar	high
contrapear	plywood	replace	cross-laminate	3	https://dle.rae.es/contrapear : aplicar unas piezas de madera contra otras con fibras cruzadas	high	carpentry term contrachapar
contristar	sadden	keep	sadden	3	https://dle.rae.es/contristar : afligir entristecer	high
conturbar	perturb	keep	perturb	3	https://dle.rae.es/conturbar : intranquilizar alterar turbar	high
copar	corner	keep	corner	3	https://dle.rae.es/copar : conseguir en una competicion todos los puestos	high
copear	drink	keep	drink	3	https://dle.rae.es/copear : tomar copas	high	wikt have drinks synonymous
coscar	annoy	replace	catch on	3	https://dle.rae.es/coscarse : coloq. darse cuenta percatarse	high	coscarse colloquial realize; current annoy wrong
cristianar	baptize	keep	baptize	3	https://dle.rae.es/cristianar : coloq. bautizar	high
cuadricular	grid	keep	grid	3	https://es.wiktionary.org/wiki/cuadricular : mark with/into grid squares	high
cuartear	crack	keep	crack	3	https://es.wiktionary.org/wiki/cuartear : agrietarse = crack/split	high
culturizar	educate	keep	educate	3	https://es.wiktionary.org/wiki/culturizar : educar en valores de una cultura	high
cumplimentar	complete	replace	fill out	2	https://es.wiktionary.org/wiki/cumplimentar : rellenar completar un formulario	high	rae+wikt say fill out a form; morph kept complete
currar	work	keep	work	3	https://es.wiktionary.org/wiki/currar : coloquial trabajar = work	high
cursar	study	keep	study	2	https://es.wiktionary.org/wiki/cursar : seguir un curso o materia	high	wikt phrased as take a course; same sense
damnificar	harm	keep	harm	3	https://es.wiktionary.org/wiki/damnificar : causar daño a alguien o algo	high
decorticar	husk	keep	husk	3	https://es.wiktionary.org/wiki/decorticar : eliminar capas externas de granos semillas	high	uncertain verb grounded by 3/3 + URL
demacrar	waste away	keep	waste away	3	https://es.wiktionary.org/wiki/demacrar : demacrarse become emaciated	high
demarrar	pull away	keep	pull away	3	https://es.wiktionary.org/wiki/demarrar : cycling accelerate to break from peloton	high
depilar	depilate	replace	remove hair	3	https://es.wiktionary.org/wiki/depilar : quitar el vello o pelo	high	all 3 prefer everyday remove hair over depilate
derechizar	make rightwing	keep	make rightwing	3	https://es.wiktionary.org/wiki/derechizar : convertir en adepto a la derecha	high
desabollar	undent	keep	undent	3	https://dle.rae.es/desabollar : quitar las abolladuras de piezas de metal	high
desaclimatar	deacclimatize	keep	deacclimatize	3	https://dle.rae.es/desaclimatar : destruir el hábito de la aclimatación	high
desacuartelar	withdraw	keep	withdraw	3	https://dle.rae.es/desacuartelar : sacar las tropas de los cuarteles	high	withdraw troops from barracks
