decolorar	bleach
desatender	neglect
desatornillar	unscrew
desatrancar	unbar
desautorizar	disavow
desayunar	breakfast
desazonar	upset
desbancar	supplant
desbarajustar	disorder
desbaratar	wreck
desbarbar	trim
desbarrancar	push off cliff	1
desbarrar	talk nonsense
desbastar	rough-hew
desbloquear	unblock
desbocar	bolt
desbordar	overflow
desbravar	tame
desbrozar	clear
descabalar	leave incomplete	1
descabalgar	dismount
descabellar	kill bull	1
descabezar	behead
descacharrar	smash	1
descalabrar	wound
descalcificar	decalcify
descalificar	disqualify
descalzar	take off shoes
descamar	scale
descambiar	exchange back	1
descansar	rest
descaperuzar	uncover	1
descapotar	put top down
descargar	download
descarnar	strip flesh
descarriar	lead astray
descarrilar	derail
descartar	discard
descasar	annul marriage	1
descascarillar	peel
descastar	exterminate
descender	descend
descentralizar	decentralize
descentrar	off-center
descerebrar	decerebrate	1
descerrajar	break open
descifrar	decipher
desclasificar	declassify
desclavar	pull out nail
descocar	be brazen
descodificar	decode
descolgar	take down
descollar	stand out
descolocar	misplace
descolonizar	decolonize
descompasar	throw off	1
descompensar	unbalance
descomponer	decompose
descomprimir	decompress
desconcertar	disconcert
desconchar	chip
desconectar	disconnect
desconfiar	distrust
descongelar	defrost
descongestionar	decongest
desconocer	not know
desconsiderar	disregard
descontaminar	decontaminate
descontar	discount
descontentar	displease
descontextualizar	decontextualize
descontrolar	lose control
desconvocar	call off
descorazonar	dishearten
descorchar	uncork
descorrer	draw back
descoser	unstitch
descoyuntar	dislocate
descreer	disbelieve
descremar	skim
describir	describe
descuadrar	not balance
descuajar	uproot	1
descuajeringar	break apart	1
descuartizar	quarter
descubrir	discover
descuidar	neglect
desdecir	retract
desdeñar	disdain
desdibujar	blur
desdoblar	unfold
desdramatizar	play down
desecar	dry
desechar	discard
desembalar	unpack
desembarazar	free
desembarcar	disembark
desembargar	lift embargo
desembarrancar	refloat
desembarrar	clean mud	1
desembocar	flow into
desembolsar	disburse
desembragar	disengage
desembrollar	untangle
desembrujar	disenchant	1
desembuchar	disgorge
desempacar	unpack
desempalmar	disconnect	1
desempañar	demist
desempapelar	unpaper	1
desempaquetar	unpack
desemparejar	unpair
desempatar	break tie
desempedrar	unpave	1
desempeñar	carry out
desempolvar	dust
desempotrar	unbuild	1
desenamorar	fall out of love
desencadenar	unleash
desencajar	dislodge
desencajonar	unbox	1
desencallar	refloat
desencaminar	mislead
desencantar	disenchant
desencapotar	uncover	1
desencarcelar	free
desencasquillar	unjam	1
desenchufar	unplug
desenclavar	dislodge	1
desencolar	unglue
desencorvar	straighten	1
desencuadernar	unbind
desenfadar	calm	1
desenfocar	defocus
desenfrenar	unbridle
desenfundar	draw
desenfurruñar	cheer up	1
desenganchar	unhook
desengañar	disabuse
desengrasar	degrease
desenhebrar	unthread
desenjaular	uncage
desenladrillar	remove bricks	1
desenlazar	unravel
desenmarañar	disentangle
desenmascarar	unmask
desenraizar	uproot
desenredar	untangle
desenrollar	unroll
desenroscar	unscrew
desensibilizar	desensitize
desensillar	unsaddle
desentablillar	unsplint	1
desentender	feign ignorance
desenterrar	exhume
desentoldar	remove awning	1
desentonar	clash
desentrañar	unravel
desentrenar	get out of shape
desentumecer	loosen up
desenvainar	unsheathe
desenvolver	unwrap
desequilibrar	unbalance
desertar	desert
desertificar	desertify
desertizar	desertify	1
desescombrar	clear rubble
desesperar	despair
desestabilizar	destabilize
desestimar	reject
